Text,Label
તેમની પાસે ખાલી સમય નથી.,0
તમારી કુદરતી દયા સૌમ્ય છે.,1
આજે તમારો શ્રેષ્ઠ દિવસ છે.,1
મને આનંદ થાય છે.,1
"આજે, હું ફક્ત આરામ કરું છું.",2
તમારો આત્મવિશ્વાસ તમને સશક્ત બનાવે છે.,1
તમારા પ્રયત્નો શ્રેષ્ઠ પરિણામો લાવશે.,1
અમે આ સપ્તાહના અંતે બીચ પર જઈ રહ્યા નથી.,0
તમારું જીવન સુંદર અને આનંદમય છે.,1
તેને પુસ્તકો વાંચવામાં રસ નથી.,0
આનાથી થોડો બદલાવ આવશે.,2
કૃતજ્ઞતા વ્યક્ત કરવાથી તમારા જીવનમાં વધુ સકારાત્મકતા આવે છે.,1
હું થોડા દિવસોથી અહીં રહું છું.,2
તમારી મહેનત અને પ્રયત્નો ચોક્કસપણે પરિણામ આપશે.,1
હું થોડીવાર પછી વાત કરું.,2
મને નથી લાગતું કે આજે આપણે આ કાર્ય પૂર્ણ કરી શકીશું.,0
તેઓ અહીં રહેવા માંગતા નથી.,0
આજનો દિવસ ખરાબ નથી,1
"મેં એક પુસ્તકના થોડા પ્રકરણો વાંચ્યા જે હું સમાપ્ત કરવાનો હતો, અને જ્યારે તે સૌથી આકર્ષક વાંચન નથી, તે મારી એકાગ્રતા બનાવિ રાખે છે.",2
તમે જે પણ કામ કરશો તેમાં સફળતા મળશે.,1
"હું એક પછી એક આંચકાનો સામનો કરી રહ્યો છું, અને જ્યારે એવું લાગે છે કે બધું જ તૂટી રહ્યું છે ત્યારે આશાવાદી રહેવું મુશ્કેલ છે.",0
તેઓ આવતીકાલે મીટીંગમાં નહી આવી શકે.,0
તે દરરોજ મીટિંગમાં જાય છે.,2
"આજે હવામાન ખૂબ ગરમ કે ખૂબ ઠંડુ નથી, તેથી મારી દિનચર્યામાં જવા માટે તે આરામદાયક તાપમાન છે.",2
"સારી વસ્તુઓ ક્ષિતિજ પર છે તે જાણીને, હું હકારાત્મક વલણ સાથે આગળના દિવસનો સામનો કરવા માટે ઉત્સાહિત છું.",1
"મેં નોંધ્યું કે મારા ફોનમાં સોફ્ટવેર અપડેટ ઉપલબ્ધ છે, તેથી મેં આગળ વધવાનું નક્કી કર્યું અને જ્યારે મારી પાસે એક ક્ષણ હોય ત્યારે તેને ઇન્સ્ટોલ કરવાનું નક્કી કર્યું.",2
હું હવે જમવા જાઉં છું.,2
હું કફી પી રહ્યો હતો.,2
તે કાર ચલાવી શકતો નથી.,0
તમે વિજેતા છો.,1
તે દર સોમવારે સવારે પ્રાર્થના કરે છે.,2
તમારું પરિવર્તન અને વૃદ્ધિ સ્પષ્ટ છે.,1
તે લગ્નમાં નથી આવી રહી.,0
તે ક્યારેય સવારે વહેલો ઉઠતો નથી.,0
આજે કામ પર નિયમિત મીટિંગ હતી; અમે ચાલુ પ્રોજેક્ટ્સની ચર્ચા કરી અને આગામી સપ્તાહ માટે કેટલીક સમયમર્યાદા નક્કી કરી.,2
તેઓ સેમિનારમાં ભાગ લેશે નહીં.,0
હું તમને આ સમસ્યામાં મદદ કરી શકતો નથી.,0
તમે દરેક પરિસ્થિતિમાં શાંતિ જાળવી શકશો.,1
તમને જે જોઈએ છે તે બધું નજીક છે.,1
નાની કોફી શોપ બજારના ખૂણે આવેલી છે.,2
"હું ખરેખર અસંબંધિત થયેલો અને એકલો અનુભવું છું, અને જ્યારે હું ખૂબ જ ભરાઈ ગયો હોઉં ત્યારે મદદ માટે પહોંચવાની શક્તિ મેળવવી મુશ્કેલ છે.",0
તે હંમેશા ગુસ્સામાં રહે છે.,0
તમારો દયાળુ સ્વભાવ હંમેશા ઘણા લોકોને પ્રેરણા આપે છે.,1
"હું મારી ટૂ-ડૂ સૂચિમાંથી ધીમે ધીમે પરંતુ ચોક્કસથી પસાર થઈ રહ્યો છું; હજી પણ થોડુંક હલ કરવાનું બાકી છે, પરંતુ હું સતત પ્રગતિ કરી રહ્યો છું.",2
આ સોમવાર સારો નથી,0
"મારા ખભા પર સતત વજન છે, અને હું એ લાગણીને હલાવી શકતો નથી કે અહીંથી વસ્તુઓ ફક્ત મુશ્કેલ બનશે.",0
તેને પોતાની વસ્તુઓ બીજા સાથે શેર કરવાનું પસંદ નથી.,0
તે હવે ઘરના કેટલાક કામોમાં વ્યસ્ત છે.,2
કોઈ વિશેષ નથી.,2
હું કૉફી શોપમાં બેઠો હતો.,2
અમને વહેલા જવાની મંજૂરી નથી.,0
"હું આજે બપોરે ફરવા ગયો હતો, અને જ્યારે તે ખાસ કરીને ઉત્તેજક ન હતું, ત્યારે બહાર નીકળવાનો અને માન સાફ કરવાનો તે એક સરસ રસ્તો હતો.",2
આ મારી અપેક્ષા પર ખરો ન ઉતર્યું.,0
"હું અદ્ભુત લોકોથી ઘેરાયેલો છું જેઓ મને માનસિક રીતે ઉત્થાન આપે છે, અને તેઓ મારા જીવનમાં જે હકારાત્મક ઊર્જા લાવે છે તેના માટે હું આભારી છું.",1
આ નિરાશાજનક હતું.,0
તે મ્યુઝિક સાંભળતી હતી.,2
"તમે શ્રેષ્ઠ વિચારો છો, અને તમે શ્રેષ્ઠ પરિણામો મેળવો છો.",1
તે થોડા દિવસોમાં નવો કોર્સ શરૂ કરશે,2
તમારી પાસે અનંત શક્તિ છે.,1
તે એક સુંદર શહેર છે.,2
હું માની શકતો નથી કે આ થઈ રહ્યું છે.,0
મારી જાતને સકારાત્મક લોકો અને અનુભવોથી ઘેરીને મને ભવિષ્ય માટે કૃતજ્ઞતા અને આશાવાદથી ભરી દે છે.,1
"હું કદાચ પછીથી દોડવા જઈશ, થોડીક કસરત કરવા માટે માત્ર એક ટૂંકી દોડ, કંઈ વધારે તીવ્ર નથી.",2
આજનો દિવસ સારો છે.,1
મારી પાસે આ ખરીદવા માટે પૂરતા પૈસા નથી.,0
"તમે જ્યાં પણ હોવ, હું તમારી સાથે છું.",1
તમે જે પણ કરો છો તેમાં તમે શ્રેષ્ઠ બની રહ્યા છો.,1
"એવું લાગે છે કે હું જે પગલું ભરું છું તે બે ડગલાં પાછળ છે, અને પ્રેરિત રહેવું વધુ મુશ્કેલ બની રહ્યું છે.",0
હું આ મકાનમાં એક રાત્રિ રહ્યો હતો.,2
તમારું પ્લેટફોર્મ દરેક માટે માર્ગદર્શક પ્રકાશ છે.,1
